LEAID,NAME,STATE_STATECODE
3410170,Milford Borough School District,NJ
4200761,Mastery CS-Pickett Campus,PA
4836450,RANDOLPH FIELD ISD,TX
1904680,Belmond-Klemme Comm School District,IA
2932490,ZALMA R-V,MO
3410200,Millburn Township School District,NJ
4626370,Garretson School District 49-4,SD
4836480,RANGER ISD,TX
4200762,Keystone Academy Charter School,PA
1904740,Bennett Comm School District,IA
3000001,Chouteau Co Joint Service,MT
4836510,RANKIN ISD,TX
3410230,Millstone Township School District,NJ
4200810,Pan American Academy CS,PA
1904830,Benton Comm School District,IA
3000002,Somers Elem,MT
4836540,RAYMONDVILLE ISD,TX
629540,Palermo Union Elementary,CA
4626490,Gayville-Volin School District 63-1,SD
3410290,Milltown School District,NJ
3000003,Cut Bank Elem,MT
4836570,REAGAN COUNTY ISD,TX
4200812,Environmental Charter School at Frick Park,PA
1904860,Bettendorf Comm School District,IA
3410320,Millville School District,NJ
3000004,Mountain View Elem,MT
4836630,RED LICK ISD,TX
629550,Palm Springs Unified,CA
1904950,Eddyville-Blakesburg- Fremont CSD,IA
4200813,Antonia Pantoja Community Charter School,PA
4626970,Gettysburg School District 53-1,SD
3000005,Helena Elem,MT
4836660,RED OAK ISD,TX
3410350,Mine Hill Township School District,NJ
3000006,Broadus Elem,MT
4836750,REDWATER ISD,TX
629580,Palmdale Elementary,CA
4200814,Vida Charter School,PA
1905070,Bondurant-Farrar Comm School District,IA
3410380,Monmouth Beach School District,NJ
3000007,South Stacey Elem,MT
4836780,REFUGIO ISD,TX
4629880,Gregory School District 26-4,SD
1905130,Boone Comm School District,IA
4200815,KIPP West Philadelphia Preparatory Charter School,PA
3000008,Ashland Elem,MT
4836930,RICARDO ISD,TX
3410440,Monmouth Regional High School,NJ
629610,Palo Alto Unified,CA
3000009,Beaverhead,MT
4836960,RICE ISD,TX
1905190,Boyden-Hull Comm School District,IA
4200816,Sankofa Freedom Academy Charter School,PA
4630490,Haakon School District 27-1,SD
3410470,Monroe Township Public School District,NJ
4836970,RICE CISD,TX
3000010,Big Horn,MT
629640,Palo Verde Unified,CA
1905430,West Hancock Comm School District,IA
4836990,RICHARDS ISD,TX
4200817,Franklin Towne Charter Elementary School,PA
3000011,Blaine,MT
3410500,Monroe Township School District,NJ
3176860,SO SIOUX CITY COMMUNITY SCHS,NE
4837020,RICHARDSON ISD,TX
4630800,Hamlin School District 28-3,SD
3000012,Bear Paw Cooperative,MT
1905490,Brooklyn-Guernsey-Malcom Comm School District,IA
4200818,Seven Generations Charter School,PA
3410530,MONTAGUE TOWNSHIP SCHOOL DISTRICT,NJ
629670,Palo Verde Union Elementary,CA
4837080,RICHLAND SPRINGS ISD,TX
3000013,Broadwater,MT
1905750,North Iowa Comm School District,IA
4837110,RIESEL ISD,TX
3410560,Montclair Public School District,NJ
4200819,Lincoln Leadership Academy Charter School,PA
3000014,Carbon,MT
4631350,Harrisburg School District 41-2,SD
3176980,ST EDWARD PUBLIC SCHOOLS,NE
4837140,RIO GRANDE CITY CISD,TX
3000015,Carter,MT
1905790,Burlington Comm School District,IA
3410590,Montgomery Township School District,NJ
4200821,Tacony Academy Charter School,PA
629700,Palos Verdes Peninsula Unified,CA
4837150,SOUTH TEXAS ISD,TX
3000016,Cascade,MT
1905940,CAM Comm School District,IA
3410620,Montvale Board of Education School District,NJ
3177100,STAPLETON PUBLIC SCHOOLS,NE
4631710,West Central School District 49-7,SD
4200822,Eastern University Academy Charter School,PA
3000017,North Ctrl Learn Res Ctr,MT
4837170,RIO HONDO ISD,TX
629770,Panoche Elementary,CA
1905970,CAL Comm School District,IA
3410650,Montville Township School District,NJ
3000018,Chouteau,MT
4200824,Central Valley SD,PA
4837200,RIO VISTA ISD,TX
3000019,Custer,MT
1906000,Calamus-Wheatland Comm School District,IA
629790,Paradise Elementary,CA
4632340,Henry School District 14-2,SD
3410680,Moonachie School District,NJ
3177180,SOUTHERN SCHOOL DISTRICT 1,NE
4837230,RISING STAR ISD,TX
4200825,Helen Thackston Charter School,PA
3000020,Big Country Coop,MT
1906060,Camanche Comm School District,IA
4837260,RIVER ROAD ISD,TX
3410710,Moorestown Township Public School District,NJ
3000021,Daniels,MT
4200827,Universal Daroff Charter School,PA
1906240,Cardinal Comm School District,IA
4837320,RIVIERA ISD,TX
4632430,Herreid School District 10-1,SD
629820,Paradise Unified,CA
3000022,Sheridan/Daniels Coop,MT
3177190,STERLING PUBLIC SCHOOLS,NE
3410720,Morris County Vocational School District,NJ
4200828,Mastery CS-Harrity Campus,PA
4837380,ROBERT LEE ISD,TX
3000023,Dawson,MT
1906270,Carlisle Comm School District,IA
3410740,Morris Hills Regional School District,NJ
629850,Paramount Unified,CA
4200829,Mastery CS-Smedley Campus,PA
4837410,ROBINSON ISD,TX
3000024,Prairie View Coop,MT
4633360,Hill City School District 51-2,SD
1906330,Carroll Comm School District,IA
3177340,SUMNER-EDDYVILLE-MILLER SCHS,NE
3410770,Morris Plains School District,NJ
3000025,Deer Lodge,MT
4837440,ROBSTOWN ISD,TX
4200830,Frederick Douglass Mastery Charter School,PA
629910,Parlier Unified,CA
1906510,Cedar Falls Comm School District,IA
3000026,Fallon,MT
3410810,Morris School District,NJ
4837470,ROBY CISD,TX
3616290,KINGSTON CITY SCHOOL DISTRICT,NY
4634440,Edmunds Central School District 22-5,SD
4200831,Mastery CS-Mann Campus,PA
3177520,SUTTON PUBLIC SCHOOLS,NE
3000028,Fergus,MT
4837500,ROCHELLE ISD,TX
629940,Pasadena Unified,CA
1906540,Cedar Rapids Comm School District,IA
3410860,Mount Arlington Public School District,NJ
4200832,Lehigh Valley Dual Language Charter School,PA
4837590,ROCKDALE ISD,TX
3000029,Central Mt Learn Res Ctr,MT
3616380,LA FARGEVILLE CENTRAL SCHOOL DISTRICT,NY
4634480,Hot Springs School District 23-2,SD
3410890,Mt. Ephraim School District,NJ
1906660,Center Point-Urbana Comm School District,IA
4837650,ROCKWALL ISD,TX
3177550,SYRACUSE-DUNBAR-AVOCA SCHOOLS,NE
630030,Patterson Joint Unified,CA
4200833,Propel CS-Braddock Hills,PA
3000030,Flathead,MT
4837710,ROGERS ISD,TX
3410920,Mount Holly Township Public School District,NJ
1906750,Centerville Comm School District,IA
4200834,Universal Bluford Charter School,PA
3000031,Flathead Special Ed. Coop.,MT
630090,Peninsula Union,CA
4837740,ROMA ISD,TX
4634600,Hoven School District 53-2,SD
3616410,LAFAYETTE CENTRAL SCHOOL DISTRICT,NY
3410950,Mount Laurel Township School District,NJ
1906780,Central City Comm School District,IA
3000032,Gallatin,MT
4837800,ROOSEVELT ISD,TX
3177730,THEDFORD PUBLIC SCHOOLS,NE
4200835,ASPIRA Bilingual Cyber Charter School,PA
630180,Perris Elementary,CA
3000033,Gallatin/Madison Coop,MT
1906810,Central DeWitt School District,IA
3616440,LACKAWANNA CITY SCHOOL DISTRICT,NY
4837830,ROPES ISD,TX
4635480,Huron School District 02-2,SD
4200836,Gettysburg Montessori Charter School,PA
630210,Perris Union High,CA
3000034,Garfield,MT
4837860,ROSCOE COLLEGIATE ISD,TX
1906840,Central Comm School District,IA
3178020,VALENTINE COMMUNITY SCHOOLS,NE
4200839,John B Stetson Charter School,PA
3000035,Glacier,MT
4837900,ROSEBUD-LOTT ISD,TX
4636060,Ipswich Public School District 22-6,SD
3616470,LAKE GEORGE CENTRAL SCHOOL DISTRICT,NY
1906900,Central Decatur Comm School District,IA
3000036,Golden Valley,MT
630230,Petaluma City Elementary,CA
4200840,Mastery CS-Clymer Elementary,PA
4838040,ROTAN ISD,TX
3178210,WAHOO PUBLIC SCHOOLS,NE
3000037,Granite,MT
1906930,Central Lee Comm School District,IA
4838080,ROUND ROCK ISD,TX
637500,South Pasadena Unified,CA
4200841,Gillingham Charter School,PA
4636150,Iroquois School District 02-3,SD
3000038,Hill,MT
630250,Petaluma Joint Union High,CA
3616500,LAKE PLACID CENTRAL SCHOOL DISTRICT,NY
4838100,ROUND TOP-CARMINE ISD,TX
1906960,Central Lyon Comm School District,IA
3000039,Jefferson,MT
4200843,Olney Charter High School,PA
4838160,ROXTON ISD,TX
3178240,WAKEFIELD PUBLIC SCHOOLS,NE
1907050,Chariton Comm School District,IA
3000041,Judith Basin,MT
630330,Piedmont City Unified,CA
4200844,Stone Valley Community CS,PA
4838190,ROYAL ISD,TX
4636990,Dakota Valley School District 61-8,SD
637530,South San Francisco Unified,CA
3616530,LAKE PLEASANT CENTRAL SCHOOL DISTRICT,NY
3000042,Lake,MT
1907080,Charles City Comm School District,IA
4838220,ROYSE CITY ISD,TX
630360,Pierce Joint Unified,CA
4200845,Young Scholars of Western Pennsylvania CS,PA
3000044,Lewis & Clark,MT
3178260,WALLACE PUBLIC SCH DIST 65 R,NE
4838280,RULE ISD,TX
1907110,Charter Oak-Ute Comm School District,IA
4638220,Kimball School District 07-2,SD
3000045,Prickly Pear Coop,MT
637560,South Whittier Elementary,CA
4200846,York Academy Regional Charter School,PA
4838310,RUNGE ISD,TX
630390,Pine Ridge Elementary,CA
3616560,EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE),NY
1907170,Cherokee Comm School District,IA
3000046,Liberty,MT
4838360,RUSK ISD,TX
4200847,Urban Pathways K-5 College Charter School,PA
3178300,WALTHILL PUBLIC SCHOOLS,NE
3000047,Lincoln,MT
4639540,Andes Central School District 11-1,SD
4838400,S AND S CISD,TX
1907350,Clarinda Comm School District,IA
630450,Piner-Olivet Union Elementary,CA
637590,Southern Humboldt Joint Unified,CA
4200848,I-LEAD Charter School,PA
3000048,Madison,MT
4838430,SABINAL ISD,TX
3616620,LAKELAND CENTRAL SCHOOL DISTRICT,NY
4200849,Propel CS-Northside,PA
3000049,McCone,MT
3178450,WAUSA PUBLIC SCHOOLS,NE
1907380,Clarion-Goldfield-Dows Comm School District,IA
4838460,SABINE ISD,TX
4639600,Madison Central School District 39-2,SD
630480,Pioneer Union Elementary,CA
3000050,Meagher,MT
637620,Southern Kern Unified,CA
4838490,SABINE PASS ISD,TX
4200850,Lindley Academy CS at Birney,PA
1907410,Clarke Comm School District,IA
3616680,LANCASTER CENTRAL SCHOOL DISTRICT,NY
3000051,Mineral,MT
4838520,SAINT JO ISD,TX
4200851,Mastery CS-Gratz Campus,PA
3000052,Missoula,MT
1907440,Clarksville Comm School District,IA
3178520,WAYNE COMMUNITY SCHOOLS,NE
4639990,Lake Preston School District 38-3,SD
4838580,SALADO ISD,TX
637630,Southern Trinity Joint Unified,CA
630510,Pioneer Union Elementary,CA
4200852,HOPE for Hyndman CS,PA
3616710,LANSING CENTRAL SCHOOL DISTRICT,NY
3000053,Missoula Area Education Coop,MT
4838610,SALTILLO ISD,TX
1907470,Clay Central-Everly Comm School District,IA
4640860,Langford Area 45-5,SD
3000054,Musselshell,MT
4200853,Penn Hills Charter School of Entrepreneurship,PA
4838640,SAM RAYBURN ISD,TX
630520,Pioneer Union Elementary,CA
637650,Southside Elementary,CA
3178540,WEEPING WATER PUBLIC SCHOOLS,NE
1907590,Clear Creek Amana Comm School District,IA
3616740,LANSINGBURGH CENTRAL SCHOOL DISTRICT,NY
3000055,Park,MT
4838700,SAN ANGELO ISD,TX
4200854,Erie Rise Leadership Academy Charter School,PA
1907620,Clear Lake Comm School District,IA
4641300,Lead-Deadwood School District 40-1,SD
4838730,SAN ANTONIO ISD,TX
630600,Pittsburg Unified,CA
3000056,Park County Coop,MT
637680,Spencer Valley Elementary,CA
3178660,WESTSIDE COMMUNITY SCHOOLS,NE
4200855,Universal Vare Charter School,PA
3616800,LAURENS CENTRAL SCHOOL DISTRICT,NY
4838760,SAN AUGUSTINE ISD,TX
1907710,Clinton Comm School District,IA
630630,Pixley Union Elementary,CA
3000057,Petroleum,MT
4838790,SAN BENITO CISD,TX
4641520,Lemmon School District 52-4,SD
4200856,Universal Audenried Charter School,PA
637710,Spreckels Union Elementary,CA
1907860,College Comm School District,IA
3178670,WHEELER CENTRAL SCHOOLS,NE
4838820,SAN DIEGO ISD,TX
3616830,LAWRENCE UNION FREE SCHOOL DISTRICT,NY
3000058,Phillips,MT
4200857,Chester CS for the Arts,PA
1907900,Collins-Maxwell Comm School District,IA
630660,Placentia-Yorba Linda Unified,CA
4838850,SAN ELIZARIO ISD,TX
4641550,Lennox School District 41-4,SD
4200858,Esperanza Cyber CS,PA
637770,Springville Union Elementary,CA
3000059,Pondera,MT
3178720,WILBER-CLATONIA PUBLIC SCHOOLS,NE
1907920,Colo-NESCO Comm School District,IA
4838900,SAN FELIPE-DEL RIO CISD,TX
3616950,LE ROY CENTRAL SCHOOL DISTRICT,NY
4200859,Propel CS-Pitcairn,PA
630720,Placer Hills Union Elementary,CA
4641640,Leola School District 44-2,SD
637830,Saint Helena Unified,CA
1907980,Columbus Comm School District,IA
4200860,Arts Academy CS,PA
4838910,SAN ISIDRO ISD,TX
3000060,Big Sky Special Needs Coop,MT
3178810,WINNEBAGO PUBLIC SCHOOLS DISTRICT 17,NE
4838970,SAN MARCOS CISD,TX
4200861,Baden Academy CS,PA
1908070,Coon Rapids-Bayard Comm School District,IA
3616960,NORTH WARREN CENTRAL SCHOOL DISTRICT,NY
630750,Placer Union High,CA
3000062,Powder River,MT
4644770,Lyman School District 42-1,SD
637890,Standard Elementary,CA
4839000,SAN PERLITA ISD,TX
4200862,Mastery CS - Cleveland Elementary,PA
1908130,Corning Comm School District,IA
3178840,WINSIDE PUBLIC SCHOOLS,NE
4839030,SAN SABA ISD,TX
3000063,Tri County Coop,MT
630780,Placerville Union Elementary,CA
4644940,Tri-Valley School District 49-6,SD
4839060,SAN VICENTE ISD,TX
3616980,NORTH ROSE-WOLCOTT CENTRAL SCHOOL DISTRICT,NY
637950,Stanislaus Union Elementary,CA
3000064,Powell,MT
1908220,Council Bluffs Comm School District,IA
4200863,The Philadelphia CS for Arts and Sciences at HR Edmunds,PA
4839120,SANDS CISD,TX
3178940,WOOD RIVER RURAL SCHOOLS,NE
3000065,Great Divide Educ Serv,MT
1908310,Creston Comm School District,IA
630810,Plainsburg Union Elementary,CA
4200866,Universal Creighton Charter School,PA
4839150,SANFORD-FRITCH ISD,TX
4645450,Marion School District 60-3,SD
638010,Stockton Unified,CA
3617130,LETCHWORTH CENTRAL SCHOOL DISTRICT,NY
3000066,Prairie,MT
4839180,SANGER ISD,TX
1908520,Dallas Center-Grimes Comm School District,IA
4200867,Howard Gardner Multiple Intelligence CS,PA
630840,Planada Elementary,CA
3000067,Ravalli,MT
3178990,WYNOT PUBLIC SCHOOLS,NE
4839210,SANTA ANNA ISD,TX
4646260,McIntosh School District 15-1,SD
4200868,ACT Academy Cyber CS,PA
638040,Stone Corral Elementary,CA
1908550,Danville Comm School District,IA
3000068,Bitterroot Valley Coop,MT
3617160,LEVITTOWN UNION FREE SCHOOL DISTRICT,NY
4839270,SANTA FE ISD,TX
630870,Plaza Elementary,CA
3000069,Richland,MT
3179050,YORK PUBLIC SCHOOLS,NE
1908580,Davenport Comm School District,IA
4839300,SANTA GERTRUDIS ISD,TX
4200870,Memphis Street Academy CS @ JP Jones,PA
4646380,McLaughlin School District 15-2,SD
3000070,Roose-Valley Sp Ed Coop,MT
630900,Pleasant Grove Joint Union,CA
4839330,SANTA MARIA ISD,TX
4200872,Universal Alcorn CS,PA
3617190,LEWISTON-PORTER CENTRAL SCHOOL DISTRICT,NY
1908610,Davis County Comm School District,IA
638070,Stony Creek Joint Unified,CA
3179080,YUTAN PUBLIC SCHOOLS,NE
3000071,Roosevelt,MT
4839360,SANTA ROSA ISD,TX
4647100,Menno School District 33-2,SD
4200873,Premier Arts and Science Charter School,PA
3000072,Rosebud,MT
4839390,SANTO ISD,TX
1908730,Decorah Community School District,IA
630930,Pleasant Ridge Union Elementary,CA
3617220,LIBERTY CENTRAL SCHOOL DISTRICT,NY
3000073,Sanders,MT
4839450,SAVOY ISD,TX
3180010,EDUCATIONAL SERVICE UNIT 01,NE
4647942,Miller 29-4,SD
4200874,Mastery CS - Francis D. Pastorius Elementary,PA
1908880,Delwood Comm School District,IA
638130,Strathmore Union Elementary,CA
630990,Pleasant Valley,CA
3000074,Sanders County Ed ServicesCoop,MT
4839480,SCHERTZ-CIBOLO-U CITY ISD,TX
4200875,Circle of Seasons Charter School,PA
1908910,Denison Comm School District,IA
3000075,Sheridan,MT
3617380,LINDENHURST UNION FREE SCHOOL DISTRICT,NY
4839510,SCHLEICHER ISD,TX
4648390,Mitchell School District 17-2,SD
3180020,EDUCATIONAL SERVICE UNIT 02,NE
631020,Pleasant Valley Joint Union Elementary,CA
638220,Sulphur Springs Union,CA
1908940,Denver Comm School District,IA
3000076,Silver Bow,MT
4200876,Capital Area School for the Arts Charter School,PA
4839540,SCHULENBURG ISD,TX
3000077,Stillwater,MT
4839570,SCURRY-ROSSER ISD,TX
3617400,LITTLE FLOWER UNION FREE SCHOOL DISTRICT,NY
4648780,Montrose School District 43-2,SD
1908970,Des Moines Independent Comm School District,IA
4200878,Mifflin County Academy of Science and Technology,PA
631050,Pleasant View Elementary,CA
3180030,EDUCATIONAL SERVICE UNIT 03,NE
638250,Summerville Elementary,CA
3000078,Stillwater/Swt Grass Coop,MT
4839600,SEAGRAVES ISD,TX
3000079,Sweet Grass,MT
1909060,Diagonal Comm School District,IA
4839630,SEALY ISD,TX
4200879,Executive Education Academy Charter School,PA
3617430,LISBON CENTRAL SCHOOL DISTRICT,NY
4649650,Mount Vernon School District 17-3,SD
631170,Plumas Unified,CA
3000080,Teton,MT
4839690,SEGUIN ISD,TX
3180040,EDUCATIONAL SERVICE UNIT 04,NE
4200880,Propel CS - Hazelwood,PA
1909120,Dike-New Hartford Comm School District,IA
638280,Summerville Union High,CA
3000081,Toole,MT
4839750,SEMINOLE ISD,TX
3000082,Treasure,MT
3617460,LITTLE FALLS CITY SCHOOL DISTRICT,NY
4839780,SEYMOUR ISD,TX
631180,Plumas Lake Elementary,CA
4200882,Hill House Passport Academy Charter School,PA
1909480,Dubuque Comm School District,IA
4650670,New Underwood School District 51-3,SD
3000083,Valley,MT
4839870,SHALLOWATER ISD,TX
3180050,EDUCATIONAL SERVICE UNIT 05,NE
638340,Sundale Union Elementary,CA
3000084,Wheatland,MT
4200883,Arts Academy Elementary Charter School,PA
4839900,SHAMROCK ISD,TX
1909540,Dunkerton Comm School District,IA
3000085,Wibaux,MT
3617520,LIVERPOOL CENTRAL SCHOOL DISTRICT,NY
4650850,Newell School District 09-2,SD
4839930,SHARYLAND ISD,TX
631230,Point Arena Joint Union High,CA
4200884,Young Scholars of McKeesport Charter School,PA
3000086,Yellowstone,MT
1909570,Boyer Valley Comm School District,IA
3180060,EDUCATIONAL SERVICE UNIT 06,NE
4839960,SHELBYVILLE ISD,TX
638430,Sunnyside Union Elementary,CA
4200885,Vision Academy Charter School,PA
3000087,E. Yellowstone Spec. Ser  Coop,MT
4839990,SHELDON ISD,TX
1909600,Durant Comm School District,IA
4651730,NE Ed Services Cooperative,SD
3617580,LIVINGSTON MANOR CENTRAL SCHOOL DISTRICT,NY
631290,Pollock Pines Elementary,CA
4200886,KIPP DuBois Charter School,PA
638460,Sunnyvale,CA
4840020,SHEPHERD ISD,TX
3000088,Yellowstone/W Carbon Coop,MT
3180070,EDUCATIONAL SERVICE UNIT 07,NE
1909990,Eagle Grove Comm School District,IA
4200887,Reach Cyber CS,PA
4840080,SHERMAN ISD,TX
3000090,Noxon Elem,MT
631320,Pomona Unified,CA
3617640,LIVONIA CENTRAL SCHOOL DISTRICT,NY
4651750,Northwestern Area School District 56-7,SD
4840110,SHINER ISD,TX
4200888,KIPP West Philadelphia CS,PA
1910050,Earlham Comm School District,IA
3000091,Dept of Corrections-Youth,MT
638520,Surprise Valley Joint Unified,CA
3180080,EDUCATIONAL SERVICE UNIT 08,NE
4840170,SIDNEY ISD,TX
3000093,Liberty Elem,MT
4200889,Mastery CS John Wister Elementary,PA
3410980,Mount Olive Township School District,NJ
4840200,SIERRA BLANCA ISD,TX
1910110,East Buchanan Comm School District,IA
4652770,Oelrichs School District 23-3,SD
631350,Pond Union Elementary,CA
3617670,LOCKPORT CITY SCHOOL DISTRICT,NY
3000094,West Glacier Elem,MT
638550,Susanville Elementary,CA
4200890,Provident CS,PA
4840230,SILSBEE ISD,TX
3180090,EDUCATIONAL SERVICE UNIT 09,NE
3000095,Lame Deer H S,MT
3411010,Mountain Lakes Public School District,NJ
1910130,Easton Valley Comm School District,IA
4200891,MaST Community CS II,PA
4840290,SILVERTON ISD,TX
3000096,North Star Elem,MT
4654270,Parker School District 60-4,SD
638610,Sutter Union High,CA
3617700,LOCUST VALLEY CENTRAL SCHOOL DISTRICT,NY
4840320,SIMMS ISD,TX
3411040,MOUNTAINSIDE SCHOOL DISTRICT,NJ
631380,Pope Valley Union Elementary,CA
1910340,River Valley Comm School District,IA
3000097,North Star HS,MT
4200892,Global Leadership Academy CS Southwest at Huey,PA
4840350,SINTON ISD,TX
3180100,EDUCATIONAL SERVICE UNIT 10,NE
3411070,Mullica Township School District,NJ
4200893,Independence CS West,PA
638640,Sweetwater Union High,CA
4654300,Parkston School District 33-3,SD
4840380,SIVELLS BEND ISD,TX
3000098,Chester-Joplin-Inverness El,MT
3617730,LONG BEACH CITY SCHOOL DISTRICT,NY
1910350,East Union Comm School District,IA
3411100,National Park Boro School District,NJ
631400,Potter Valley Community Unified,CA
4200894,Innovative Arts Academy CS,PA
4840410,SKIDMORE-TYNAN ISD,TX
3180110,EDUCATIONAL SERVICE UNIT 11,NE
3000099,Heart Butte K-12 Schools,MT
1910410,Eastern Allamakee Comm School District,IA
638670,Sylvan Union Elementary,CA
4200895,TECH Freire CS,PA
4840440,SLATON ISD,TX
3411130,Neptune City School District,NJ
4655260,Pierre School District 32-2,SD
3617760,LONG LAKE CENTRAL SCHOOL DISTRICT,NY
3000100,Mont Sch for Deaf Blind,MT
4840470,SLIDELL ISD,TX
1910500,Edgewood-Colesburg Comm School District,IA
631470,Portola Valley Elementary,CA
4200896,Westinghouse Arts Academy CS,PA
3180130,EDUCATIONAL SERVICE UNIT 13,NE
638700,Taft City,CA
3411160,Neptune Township School District,NJ
4840500,SLOCUM ISD,TX
4655710,Plankinton School District 01-1,SD
1910690,Eldora-New Providence Comm School District,IA
4200897,Easton Arts Academy Elementary CS,PA
3617820,LOWVILLE ACADEMY & CENTRAL SCHOOL DISTRICT,NY
4840550,SMITHVILLE ISD,TX
3411190,Netcong School District,NJ
631530,Poway Unified,CA
638730,Taft Union High,CA
4200898,Insight PA Cyber CS,PA
4840590,SMYER ISD,TX
1910950,Emmetsburg Comm School District,IA
3180150,EDUCATIONAL SERVICE UNIT 15,NE
3411220,New Brunswick School District,NJ
3617880,LYME CENTRAL SCHOOL DISTRICT,NY
4840620,SNOOK ISD,TX
4659820,Rapid City Area School District 51-4,SD
4200899,Deep Roots Charter School,PA
631620,Princeton Joint Unified,CA
3411250,New Hanover Township,NJ
1910980,English Valleys Comm School District,IA
638770,Tahoe-Truckee Unified,CA
4840650,SNYDER ISD,TX
3180160,EDUCATIONAL SERVICE UNIT 16,NE
4200900,Mastery Prep Elementary CS,PA
3411280,New Milford Public School District,NJ
1911040,Essex Comm School District,IA
4840680,SOUTH SAN ANTONIO ISD,TX
3617910,LYNBROOK UNION FREE SCHOOL DISTRICT,NY
4660450,Redfield School District 56-4,SD
631680,Raisin City Elementary,CA
4200901,KIPP North Philadelphia CS,PA
638790,Tamalpais Union High,CA
4840710,SOCORRO ISD,TX
1911070,Estherville Lincoln Central Com Sch Dist,IA
3411310,New Providence School District,NJ
3180170,EDUCATIONAL SERVICE UNIT 17,NE
4202010,Abington Heights SD,PA
4840740,SOMERSET ISD,TX
631710,Ramona City Unified,CA
4663360,Rosholt School District 54-4,SD
3617940,LYNCOURT UNION FREE SCHOOL DISTRICT,NY
638880,Tehachapi Unified,CA
4202040,Abington SD,PA
3000101,Chester-Joplin-Inverness HS,MT
